address,amount
0x0000000000000000000000000000000000000001,100
0x0000000000000000000000000000000000000002,200
0x0000000000000000000000000000000000000003,300
0x0000000000000000000000000000000000000004,400
0x0000000000000000000000000000000000000005,500
0x0000000000000000000000000000000000000006,600
0x0000000000000000000000000000000000000007,700
0x0000000000000000000000000000000000000008,800
0x0000000000000000000000000000000000000009,900
0x000000000000000000000000000000000000000a,1000
0x000000000000000000000000000000000000000b,1100
0x000000000000000000000000000000000000000c,1200
0x000000000000000000000000000000000000000d,1300
0x000000000000000000000000000000000000000e,1400
0x000000000000000000000000000000000000000f,1500
0x0000000000000000000000000000000000000010,1600
0x0000000000000000000000000000000000000011,1700
0x0000000000000000000000000000000000000012,1800
0x0000000000000000000000000000000000000013,1900
0x0000000000000000000000000000000000000014,2000
0x0000000000000000000000000000000000000015,2100
0x0000000000000000000000000000000000000016,2200
0x0000000000000000000000000000000000000017,2300
0x0000000000000000000000000000000000000018,2400
0x0000000000000000000000000000000000000019,2500
0x000000000000000000000000000000000000001a,2600
0x000000000000000000000000000000000000001b,2700
0x000000000000000000000000000000000000001c,2800
0x000000000000000000000000000000000000001d,2900
0x000000000000000000000000000000000000001e,3000
0x000000000000000000000000000000000000001f,3100
0x0000000000000000000000000000000000000020,3200
0x0000000000000000000000000000000000000021,3300
0x0000000000000000000000000000000000000022,3400
0x0000000000000000000000000000000000000023,3500
0x0000000000000000000000000000000000000024,3600
0x0000000000000000000000000000000000000025,3700
0x0000000000000000000000000000000000000026,3800
0x0000000000000000000000000000000000000027,3900
0x0000000000000000000000000000000000000028,4000
0x0000000000000000000000000000000000000029,4100
0x000000000000000000000000000000000000002a,4200
0x000000000000000000000000000000000000002b,4300
0x000000000000000000000000000000000000002c,4400
0x000000000000000000000000000000000000002d,4500
0x000000000000000000000000000000000000002e,4600
0x000000000000000000000000000000000000002f,4700
0x0000000000000000000000000000000000000030,4800
0x0000000000000000000000000000000000000031,4900
0x0000000000000000000000000000000000000032,5000
